1.423266291618347168e+00,-1.498875617980957031e-01,2.996420145034790039e+00,1.830292105674743652e+00,-1.647062182426452637e+00,5.307646274566650391e+00,1.330180048942565918e+00,5.157780647277832031e-02,2.608782291412353516e+00,-2.070391923189163208e-02,-2.667992353439331055e+00,2.626584291458129883e+00
1.421806335449218750e+00,-1.513475179672241211e-01,2.994960308074951172e+00,1.943388938903808594e+00,-1.533965349197387695e+00,5.420742988586425781e+00,1.364681720733642578e+00,8.607947826385498047e-02,2.643283843994140625e+00,9.920167922973632812e-02,-2.548086643218994141e+00,2.746490001678466797e+00
1.416272997856140137e+00,-1.568808555603027344e-01,2.989426851272583008e+00,2.047452926635742188e+00,-1.429901361465454102e+00,5.524806976318359375e+00,1.399212002754211426e+00,1.206097602844238281e-01,2.677814245223999023e+00,2.265849113464355469e-01,-2.420703411102294922e+00,2.873873233795166016e+00
1.405907034873962402e+00,-1.672468185424804688e-01,2.979060888290405273e+00,2.140093088150024414e+00,-1.337261199951171875e+00,5.617447376251220703e+00,1.433573007583618164e+00,1.549707651138305664e-01,2.712175369262695312e+00,3.610664904117584229e-01,-2.286221742630004883e+00,3.008354902267456055e+00
1.389840602874755859e+00,-1.833132505416870117e-01,2.962994575500488281e+00,2.218582153320312500e+00,-1.258772134780883789e+00,5.695936203002929688e+00,1.467687010765075684e+00,1.890847682952880859e-01,2.746289253234863281e+00,5.017778277397155762e-01,-2.145510435104370117e+00,3.149066209793090820e+00
1.367214560508728027e+00,-2.059392929077148438e-01,2.940368413925170898e+00,2.280319929122924805e+00,-1.197034358978271484e+00,5.757674217224121094e+00,1.501415848731994629e+00,2.228136062622070312e-01,2.780018091201782227e+00,6.477181315422058105e-01,-1.999570131301879883e+00,3.295006513595581055e+00
1.336804151535034180e+00,-2.363497018814086914e-01,2.909957885742187500e+00,2.321486949920654297e+00,-1.155867338180541992e+00,5.798841476440429688e+00,1.534548401832580566e+00,2.559461593627929688e-01,2.813150644302368164e+00,7.979437112808227539e-01,-1.849344611167907715e+00,3.445231914520263672e+00
1.297742962837219238e+00,-2.754108905792236328e-01,2.870896816253662109e+00,2.340090990066528320e+00,-1.137263298034667969e+00,5.817445278167724609e+00,1.566914200782775879e+00,2.883119583129882812e-01,2.845516443252563477e+00,9.509448409080505371e-01,-1.696343421936035156e+00,3.598233222961425781e+00
1.248878598213195801e+00,-3.242752552032470703e-01,2.822032451629638672e+00,2.332653999328613281e+00,-1.144700288772583008e+00,5.810008049011230469e+00,1.598259329795837402e+00,3.196570873260498047e-01,2.876861572265625000e+00,1.105347275733947754e+00,-1.541941046714782715e+00,3.752635478973388672e+00
1.189287304878234863e+00,-3.838665485382080078e-01,2.762441158294677734e+00,2.296677589416503906e+00,-1.180676698684692383e+00,5.774031639099121094e+00,1.628397464752197266e+00,3.497952222824096680e-01,2.906999588012695312e+00,1.259252786636352539e+00,-1.388035535812377930e+00,3.906541109085083008e+00
